original_textgrid_file	original_wav_file	extract_sound_file_name	extract_textgrid_file_name	extract_start_time_in_original_file	extract_end_time_in_original_file	interval_label_in_original_file
common_voice_ar_19442536.TextGrid	common_voice_ar_19442536.wav	common_voice_ar_19442536_extrait2_<usb>.wav	common_voice_ar_19442536_extrait2_<usb>.TextGrid	1.46	1.59	<usb>
common_voice_ar_19442536.TextGrid	common_voice_ar_19442536.wav	common_voice_ar_19442536_extrait3_i.wav	common_voice_ar_19442536_extrait3_i.TextGrid	2.05	2.09	i
common_voice_ar_19442536.TextGrid	common_voice_ar_19442536.wav	common_voice_ar_19442536_extrait4_<nib>.wav	common_voice_ar_19442536_extrait4_<nib>.TextGrid	2.99	3.5	<nib>
common_voice_ar_19442537.TextGrid	common_voice_ar_19442537.wav	common_voice_ar_19442537_extrait1_<nib>.wav	common_voice_ar_19442537_extrait1_<nib>.TextGrid	0.14	0.52	<nib>
common_voice_ar_19442537.TextGrid	common_voice_ar_19442537.wav	common_voice_ar_19442537_extrait2_<nib>.wav	common_voice_ar_19442537_extrait2_<nib>.TextGrid	0.52	1.62	<nib>
common_voice_ar_19442537.TextGrid	common_voice_ar_19442537.wav	common_voice_ar_19442537_extrait3_<nib>.wav	common_voice_ar_19442537_extrait3_<nib>.TextGrid	1.82	1.92	<nib>
common_voice_ar_19442537.TextGrid	common_voice_ar_19442537.wav	common_voice_ar_19442537_extrait4_i:.wav	common_voice_ar_19442537_extrait4_i:.TextGrid	1.92	1.97	i:
common_voice_ar_19442537.TextGrid	common_voice_ar_19442537.wav	common_voice_ar_19442537_extrait5_<nib>.wav	common_voice_ar_19442537_extrait5_<nib>.TextGrid	2.3	2.57	<nib>
common_voice_ar_19442537.TextGrid	common_voice_ar_19442537.wav	common_voice_ar_19442537_extrait6_<nib>.wav	common_voice_ar_19442537_extrait6_<nib>.TextGrid	3.88	4.28	<nib>
common_voice_ar_19442539.TextGrid	common_voice_ar_19442539.wav	common_voice_ar_19442539_extrait1_<nib>.wav	common_voice_ar_19442539_extrait1_<nib>.TextGrid	0.25	0.43	<nib>
common_voice_ar_19442539.TextGrid	common_voice_ar_19442539.wav	common_voice_ar_19442539_extrait2_<usb>.wav	common_voice_ar_19442539_extrait2_<usb>.TextGrid	0.74	0.96	<usb>
common_voice_ar_19442539.TextGrid	common_voice_ar_19442539.wav	common_voice_ar_19442539_extrait3_<nib>.wav	common_voice_ar_19442539_extrait3_<nib>.TextGrid	0.96	1.08	<nib>
common_voice_ar_19442539.TextGrid	common_voice_ar_19442539.wav	common_voice_ar_19442539_extrait4_<nib>.wav	common_voice_ar_19442539_extrait4_<nib>.TextGrid	2.34	2.76	<nib>
